ep_returns,ep_lens
285.43402284534704,400.0
285.60497624033724,400.0
284.63685980227694,400.0
252.99548010627282,355.55555555555554
174.52532615710285,246.15384615384616
253.09831203255447,355.55555555555554
284.9683020675951,400.0
226.87501117065622,320.0
286.0980979011888,400.0
252.61795323279966,355.55555555555554
251.80912243815044,355.55555555555554
285.2681114386612,400.0
252.2360009616365,355.55555555555554
252.12764263521714,355.55555555555554
287.4799713496093,400.0
188.44299731411823,266.6666666666667
231.73681261412102,320.0
286.379659495681,400.0
254.36276032475948,355.55555555555554
284.88685001159445,400.0
252.1293409092632,355.55555555555554
254.63725509952258,355.55555555555554
254.05216712846516,355.55555555555554
287.2813119266673,400.0
288.5723867551954,400.0
258.26164958614106,355.55555555555554
254.21618695789155,355.55555555555554
255.2076326218579,355.55555555555554
252.7618770214636,355.55555555555554
287.5358601623879,400.0
285.68242620277323,400.0
288.5831461754121,400.0
256.5333378021234,355.55555555555554
287.7484515295059,400.0
254.41993166099311,355.55555555555554
256.88493481591286,355.55555555555554
291.3307803731045,400.0
287.90922844820597,400.0
251.6573150193836,355.55555555555554
286.05640761250163,400.0
254.29783429559944,355.55555555555554
288.80493593572817,400.0
288.7598829756979,400.0
256.3718187433649,355.55555555555554
254.7253001290282,355.55555555555554
288.3889290349437,400.0
290.49694890180376,400.0
291.0371300627629,400.0
291.3747746211951,400.0
291.34103610767454,400.0
288.2568955473952,400.0
290.7687703207657,400.0
229.68268891269446,320.0
209.64268965672193,290.90909090909093
290.7090210494434,400.0
257.40705000873254,355.55555555555554
259.9999380546887,355.55555555555554
289.92611531681456,400.0
291.8991362897905,400.0
258.3671604437085,355.55555555555554
231.0602203254081,320.0
290.2491340054578,400.0
254.01985620339903,355.55555555555554
257.227760340091,355.55555555555554
288.30447866505995,400.0
286.80953268186215,400.0
289.1881096104054,400.0
209.85550454710003,290.90909090909093
228.44811955035303,320.0
291.63501738211926,400.0
288.6311007823794,400.0
289.4729109299932,400.0
291.5701048282525,400.0
256.07961018315666,355.55555555555554
289.8211647050124,400.0
254.7731785460148,355.55555555555554
291.3674106435777,400.0
257.9616604288496,355.55555555555554
290.64668669814466,400.0
292.3411955007981,400.0
291.20953501993347,400.0
289.91348256734966,400.0
293.3268343327517,400.0
290.8547906887411,400.0
291.34350581945716,400.0
291.5093108584739,400.0
258.16943281363524,355.55555555555554
260.07696999161703,355.55555555555554
292.103929819105,400.0
292.21097826536936,400.0
258.2320588257803,355.55555555555554
292.6465227209595,400.0
292.8199918904146,400.0
293.3573467870948,400.0
295.19901136815724,400.0
210.75212998928694,290.90909090909093
257.97439577701454,355.55555555555554
290.8813733270456,400.0
292.0518567379522,400.0
294.1997010359549,400.0
293.48968075413427,400.0
257.5002258195516,355.55555555555554
293.00237068825766,400.0
290.5863185871354,400.0
291.0615618809132,400.0
292.1799888423378,400.0
293.11187048087976,400.0
295.1616779522035,400.0
292.1023054938123,400.0
291.5308580282018,400.0
257.6695434139115,355.55555555555554
292.033096057373,400.0
293.925402335788,400.0
294.8429506660273,400.0
293.64317223960006,400.0
292.0241786236564,400.0
